ADM1_NAME,ADM2_NAME,year,month,absorbing_aerosol_index
Western,Wassa East,2019.0,1.0,0.06895152872989371
Western,Mpohor,2019.0,1.0,0.09224643087387285
Western,Wassa Amenfi Central,2019.0,1.0,0.027267898443932435
Ashanti,Sekyere Afram Plains,2019.0,1.0,0.08080380901077122
Ashanti,Sekyere Afram Plains North,2019.0,1.0,0.3545490594803969
Ashanti,Asante Akim North,2019.0,1.0,0.14821586011321553
Ashanti,Asante Akim Central Municipal,2019.0,1.0,0.10242478751332446
Ashanti,Asokore Mampong Municipal,2019.0,1.0,0.3608436059021944
Ashanti,Kma,2019.0,1.0,0.3612664013290463
Western,Wassa Amenfi East,2019.0,1.0,0.0825788187839514
Ashanti,Kwabre,2019.0,1.0,0.23961129888279406
Ashanti,Ejura Sekye Dumase,2019.0,1.0,0.28234748277970867
Ashanti,Ahafo Ano South,2019.0,1.0,0.030847346071986206
Western,Jomoro,2019.0,1.0,-0.04199964505376032
Western,Ahanta West,2019.0,1.0,0.06901716927220557
Western,Sefwi Bibiani-Anhwiaso Bekwai,2019.0,1.0,0.0696080012404351
Ashanti,Amansie West,2019.0,1.0,0.13350441132206997
Ashanti,Asante Akim South,2019.0,1.0,0.04746750834609744
Ashanti,Ahafo Ano North,2019.0,1.0,0.07357796786548038
Ashanti,Ejisu Juaben,2019.0,1.0,0.1564278812211034
Ashanti,Obuasi Municipal,2019.0,2.0,-0.07370039147248608
Ashanti,Atwima Nwabiagya,2019.0,2.0,-0.014106686208384194
Ashanti,Atwima Mponua,2019.0,2.0,-0.08841422249815606
Ashanti,Adansi South,2019.0,2.0,-0.005543743069157219
Ashanti,Adansi North,2019.0,2.0,-0.03412632014551573
Ashanti,Bosome Freho,2019.0,2.0,-0.04274614304684741
Ashanti,Bekwai Municipal,2019.0,2.0,-0.056397827299132675
Ashanti,Amansie Central,2019.0,2.0,-0.07740923755479143
Western,Wassa Amenfi West,2019.0,2.0,-0.11368305316416077
Ashanti,Afigya Kwabre,2019.0,2.0,-0.020101770737580585
Ashanti,Atwima Kwanwoma,2019.0,2.0,-0.01961528910295506
Ashanti,Afigya Sekyere,2019.0,2.0,-0.0959095335970779
Ashanti,Sekyere Central,2019.0,2.0,0.11689990554436569
Ashanti,Offinso North,2019.0,2.0,0.08689549936234346
Ashanti,Offinso Municipal,2019.0,2.0,-0.03796929628548043
Ashanti,Bosomtwe /Atwima / Kwanwoma,2019.0,2.0,-0.07651778246535182
Ashanti,Mampong Municipal,2019.0,2.0,0.04473067989571323
Western,Ellembelle,2019.0,2.0,-0.0956205013184454
Western,Prestea / Huni Valley,2019.0,2.0,-0.07377803611672855
Western,Nzema East,2019.0,2.0,-0.07469367492334836
Western,Tarkwa Nsuaem,2019.0,2.0,-0.04945918593891878
Western,Sefwi Akontombra,2019.0,2.0,-0.06986118449112112
Western,Sekondi Takoradi,2019.0,2.0,-0.017147964152012918
Western,Sefwi-Wiawso,2019.0,2.0,-0.0927621484165336
Western,Shama,2019.0,2.0,0.033715325237266
Ashanti,Sekyere East,2019.0,2.0,-0.08231256307630726
Western,Aowin,2019.0,2.0,-0.14190179753443866
Western,Suaman,2019.0,2.0,-0.11036882959575815
Western,Bia East,2019.0,2.0,-0.082651609292811
Western,Bia West,2019.0,2.0,-0.10607810683639703
Western,Bodi,2019.0,2.0,-0.1143232250199004
Western,Juabeso,2019.0,2.0,-0.12580243037302727
Western,Wassa East,2019.0,2.0,-0.0016661481291237448
Western,Mpohor,2019.0,2.0,-0.01310176283331372
Western,Wassa Amenfi Central,2019.0,2.0,-0.09153356313034211
Ashanti,Sekyere Afram Plains,2019.0,2.0,-0.05824985999538552
Ashanti,Sekyere Afram Plains North,2019.0,2.0,0.1778000209192312
Ashanti,Asante Akim North,2019.0,2.0,0.008765318011757128
Ashanti,Asante Akim Central Municipal,2019.0,2.0,-0.07588237009317594
Ashanti,Asokore Mampong Municipal,2019.0,2.0,0.1779200969567556
Ashanti,Kma,2019.0,2.0,0.14668082820204412
Western,Wassa Amenfi East,2019.0,2.0,-0.08173510306279606
Ashanti,Kwabre,2019.0,2.0,0.07188553322134456
Ashanti,Ejura Sekye Dumase,2019.0,2.0,0.2478430503289076
Ashanti,Ahafo Ano South,2019.0,2.0,-0.04382448760758953
Western,Jomoro,2019.0,2.0,-0.03634045053201813
