ADM1_NAME,ADM2_NAME,year,month,tropospheric_NO2_column_number_density
Western,Ahanta West,2024.0,2.0,1.3789537025010627E-5
Western,Sefwi Bibiani-Anhwiaso Bekwai,2024.0,2.0,1.681722457264913E-5
Ashanti,Amansie West,2024.0,2.0,2.0908955741134746E-5
Ashanti,Asante Akim South,2024.0,2.0,1.9681898665732992E-5
Ashanti,Ahafo Ano North,2024.0,2.0,1.9749607009428653E-5
Ashanti,Ejisu Juaben,2024.0,2.0,2.608355034188635E-5
Ashanti,Obuasi Municipal,2024.0,3.0,1.9247154966144816E-5
Ashanti,Atwima Nwabiagya,2024.0,3.0,2.355720412417175E-5
Ashanti,Atwima Mponua,2024.0,3.0,1.732411409228071E-5
Ashanti,Adansi South,2024.0,3.0,1.81761585019673E-5
Ashanti,Adansi North,2024.0,3.0,1.7939314290154996E-5
Ashanti,Bosome Freho,2024.0,3.0,1.884415743574122E-5
Ashanti,Bekwai Municipal,2024.0,3.0,1.9500115495966997E-5
Ashanti,Amansie Central,2024.0,3.0,1.956259324292047E-5
Western,Wassa Amenfi West,2024.0,3.0,1.500380676158015E-5
Ashanti,Afigya Kwabre,2024.0,3.0,2.5511171572575815E-5
Ashanti,Atwima Kwanwoma,2024.0,3.0,2.1398101484359288E-5
Ashanti,Afigya Sekyere,2024.0,3.0,2.467505946329172E-5
Ashanti,Sekyere Central,2024.0,3.0,1.996953183557431E-5
Ashanti,Offinso North,2024.0,3.0,1.941658622401179E-5
Ashanti,Offinso Municipal,2024.0,3.0,2.0263195993501406E-5
Ashanti,Bosomtwe /Atwima / Kwanwoma,2024.0,3.0,2.0424756603642168E-5
Ashanti,Mampong Municipal,2024.0,3.0,2.1011720554188608E-5
Western,Ellembelle,2024.0,3.0,1.2506579762462924E-5
Western,Prestea / Huni Valley,2024.0,3.0,1.654772969091158E-5
Western,Nzema East,2024.0,3.0,1.2512208311880996E-5
Western,Tarkwa Nsuaem,2024.0,3.0,1.5295510235541418E-5
Western,Sefwi Akontombra,2024.0,3.0,1.379440435470549E-5
Western,Sekondi Takoradi,2024.0,3.0,1.573356201395529E-5
Western,Sefwi-Wiawso,2024.0,3.0,1.6217691290401432E-5
Western,Shama,2024.0,3.0,2.053267836726473E-5
Ashanti,Sekyere East,2024.0,3.0,2.103548961783659E-5
Western,Aowin,2024.0,3.0,1.4259776268430492E-5
Western,Suaman,2024.0,3.0,1.534183440763879E-5
Western,Bia East,2024.0,3.0,1.575507307940042E-5
Western,Bia West,2024.0,3.0,1.5153946962841137E-5
Western,Bodi,2024.0,3.0,1.5541483536940013E-5
Western,Juabeso,2024.0,3.0,1.558463829365775E-5
Western,Wassa East,2024.0,3.0,1.5551242574186558E-5
Western,Mpohor,2024.0,3.0,1.2344907876461401E-5
Western,Wassa Amenfi Central,2024.0,3.0,1.549228591267876E-5
Ashanti,Sekyere Afram Plains,2024.0,3.0,1.895269349464126E-5
Ashanti,Sekyere Afram Plains North,2024.0,3.0,1.7359169479542265E-5
Ashanti,Asante Akim North,2024.0,3.0,1.8500292820526235E-5
Ashanti,Asante Akim Central Municipal,2024.0,3.0,1.927708980852965E-5
Ashanti,Asokore Mampong Municipal,2024.0,3.0,2.9564561292795632E-5
Ashanti,Kma,2024.0,3.0,2.7838233155031787E-5
Western,Wassa Amenfi East,2024.0,3.0,1.748875231416622E-5
Ashanti,Kwabre,2024.0,3.0,2.8896687800176116E-5
Ashanti,Ejura Sekye Dumase,2024.0,3.0,1.9340128477327167E-5
Ashanti,Ahafo Ano South,2024.0,3.0,2.0928521320210233E-5
Western,Jomoro,2024.0,3.0,1.3977513758407916E-5
Western,Ahanta West,2024.0,3.0,1.0572881694349254E-5
Western,Sefwi Bibiani-Anhwiaso Bekwai,2024.0,3.0,1.7305645861832624E-5
Ashanti,Amansie West,2024.0,3.0,2.0183337309121047E-5
Ashanti,Asante Akim South,2024.0,3.0,1.8325469901453267E-5
Ashanti,Ahafo Ano North,2024.0,3.0,1.8023569446910517E-5
Ashanti,Ejisu Juaben,2024.0,3.0,2.1910220122149544E-5
Ashanti,Obuasi Municipal,2024.0,4.0,1.993906443422506E-5
Ashanti,Atwima Nwabiagya,2024.0,4.0,1.897342410221033E-5
Ashanti,Atwima Mponua,2024.0,4.0,1.5742219865725635E-5
Ashanti,Adansi South,2024.0,4.0,1.6717658706230714E-5
Ashanti,Adansi North,2024.0,4.0,1.606774722705867E-5
Ashanti,Bosome Freho,2024.0,4.0,1.4546626851302517E-5
Ashanti,Bekwai Municipal,2024.0,4.0,1.808977826269044E-5
Ashanti,Amansie Central,2024.0,4.0,2.0244705922009024E-5
Western,Wassa Amenfi West,2024.0,4.0,1.4610790867484348E-5
Ashanti,Afigya Kwabre,2024.0,4.0,2.0331644913298937E-5
Ashanti,Atwima Kwanwoma,2024.0,4.0,1.795989374942981E-5
Ashanti,Afigya Sekyere,2024.0,4.0,1.7973697199465253E-5
Ashanti,Sekyere Central,2024.0,4.0,1.367230449646914E-5
Ashanti,Offinso North,2024.0,4.0,1.2494195264954697E-5
Ashanti,Offinso Municipal,2024.0,4.0,1.4923023657271157E-5
Ashanti,Bosomtwe /Atwima / Kwanwoma,2024.0,4.0,1.6864895199126256E-5
Ashanti,Mampong Municipal,2024.0,4.0,1.6554917272592248E-5
Western,Ellembelle,2024.0,4.0,1.4145893048935811E-5
Western,Prestea / Huni Valley,2024.0,4.0,1.8558759547308205E-5
Western,Nzema East,2024.0,4.0,1.5535303015827883E-5
Western,Tarkwa Nsuaem,2024.0,4.0,1.6288207583509413E-5
Western,Sefwi Akontombra,2024.0,4.0,1.413746077159513E-5
Western,Sekondi Takoradi,2024.0,4.0,1.3568451482171872E-5
Western,Sefwi-Wiawso,2024.0,4.0,1.589361486740994E-5
Western,Shama,2024.0,4.0,2.24974815639185E-5
Ashanti,Sekyere East,2024.0,4.0,1.5707172711025532E-5
Western,Aowin,2024.0,4.0,1.397166150908182E-5
Western,Suaman,2024.0,4.0,1.3833293337533904E-5
Western,Bia East,2024.0,4.0,1.3041792221700807E-5
Western,Bia West,2024.0,4.0,1.2621950616818334E-5
Western,Bodi,2024.0,4.0,1.4216970206050437E-5
Western,Juabeso,2024.0,4.0,1.3231095139232122E-5
Western,Wassa East,2024.0,4.0,1.8901059348130086E-5
Western,Mpohor,2024.0,4.0,1.5122361537961922E-5
Western,Wassa Amenfi Central,2024.0,4.0,1.7160803640529417E-5
Ashanti,Sekyere Afram Plains,2024.0,4.0,1.290504044467072E-5
Ashanti,Sekyere Afram Plains North,2024.0,4.0,1.2445091440492104E-5
Ashanti,Asante Akim North,2024.0,4.0,1.3090243365942419E-5
Ashanti,Asante Akim Central Municipal,2024.0,4.0,1.4735115494041463E-5
Ashanti,Asokore Mampong Municipal,2024.0,4.0,2.5858399516440552E-5
Ashanti,Kma,2024.0,4.0,2.4027461077496145E-5
Western,Wassa Amenfi East,2024.0,4.0,1.7789277798541124E-5
Ashanti,Kwabre,2024.0,4.0,2.3330457931492458E-5
Ashanti,Ejura Sekye Dumase,2024.0,4.0,1.3367834949008049E-5
Ashanti,Ahafo Ano South,2024.0,4.0,1.5493552574170965E-5
Western,Jomoro,2024.0,4.0,1.4076434995285183E-5
Western,Ahanta West,2024.0,4.0,1.1233568094720453E-5
Western,Sefwi Bibiani-Anhwiaso Bekwai,2024.0,4.0,1.7636951584158203E-5
Ashanti,Amansie West,2024.0,4.0,1.939081631906945E-5
Ashanti,Asante Akim South,2024.0,4.0,1.4618667917783794E-5
Ashanti,Ahafo Ano North,2024.0,4.0,1.4583142981223421E-5
Ashanti,Ejisu Juaben,2024.0,4.0,1.7062062338176654E-5
Ashanti,Obuasi Municipal,2024.0,5.0,1.62395252258423E-5
Ashanti,Atwima Nwabiagya,2024.0,5.0,1.767762936427638E-5
Ashanti,Atwima Mponua,2024.0,5.0,1.3538767340768605E-5
Ashanti,Adansi South,2024.0,5.0,1.4056746999033172E-5
Ashanti,Adansi North,2024.0,5.0,1.4452418955058432E-5
Ashanti,Bosome Freho,2024.0,5.0,1.3495976199332999E-5
Ashanti,Bekwai Municipal,2024.0,5.0,1.5428616209244464E-5
Ashanti,Amansie Central,2024.0,5.0,1.721946512780595E-5
Western,Wassa Amenfi West,2024.0,5.0,1.2417021951882974E-5
Ashanti,Afigya Kwabre,2024.0,5.0,1.963437754880685E-5
Ashanti,Atwima Kwanwoma,2024.0,5.0,1.6567699914659805E-5
Ashanti,Afigya Sekyere,2024.0,5.0,1.9196697030874785E-5
Ashanti,Sekyere Central,2024.0,5.0,1.4663455773031981E-5
Ashanti,Offinso North,2024.0,5.0,1.1943532424192276E-5
Ashanti,Offinso Municipal,2024.0,5.0,1.5003968790256513E-5
Ashanti,Bosomtwe /Atwima / Kwanwoma,2024.0,5.0,1.4400608017244428E-5
Ashanti,Mampong Municipal,2024.0,5.0,1.6875065410465595E-5
Western,Ellembelle,2024.0,5.0,9.767182033217311E-6
Western,Prestea / Huni Valley,2024.0,5.0,1.4774653725610179E-5
Western,Nzema East,2024.0,5.0,1.041539887241509E-5
Western,Tarkwa Nsuaem,2024.0,5.0,1.2953604559626886E-5
Western,Sefwi Akontombra,2024.0,5.0,1.0477977244567093E-5
Western,Sekondi Takoradi,2024.0,5.0,1.789144983311179E-5
Western,Sefwi-Wiawso,2024.0,5.0,1.2213668372265014E-5
Western,Shama,2024.0,5.0,2.7355205286767347E-5
Ashanti,Sekyere East,2024.0,5.0,1.4569343475352629E-5
Western,Aowin,2024.0,5.0,1.1616433086076193E-5
Western,Suaman,2024.0,5.0,1.1743231158891591E-5
Western,Bia East,2024.0,5.0,1.2984611920874343E-5
Western,Bia West,2024.0,5.0,1.2992244550978863E-5
Western,Bodi,2024.0,5.0,1.102975941722132E-5
Western,Juabeso,2024.0,5.0,1.1719541452841219E-5
Western,Wassa East,2024.0,5.0,1.5467130173432122E-5
Western,Mpohor,2024.0,5.0,1.3060462109886161E-5
Western,Wassa Amenfi Central,2024.0,5.0,1.286246436442698E-5
Ashanti,Sekyere Afram Plains,2024.0,5.0,1.2439625328054502E-5
Ashanti,Sekyere Afram Plains North,2024.0,5.0,1.2891650303681737E-5
Ashanti,Asante Akim North,2024.0,5.0,1.45834031293635E-5
Ashanti,Asante Akim Central Municipal,2024.0,5.0,1.4111045823012872E-5
Ashanti,Asokore Mampong Municipal,2024.0,5.0,2.5627200691821774E-5
Ashanti,Kma,2024.0,5.0,2.1575921434182027E-5
Western,Wassa Amenfi East,2024.0,5.0,1.4032381418106541E-5
Ashanti,Kwabre,2024.0,5.0,2.6480534351704032E-5
Ashanti,Ejura Sekye Dumase,2024.0,5.0,1.3954329105968562E-5
Ashanti,Ahafo Ano South,2024.0,5.0,1.4464660972549904E-5
Western,Jomoro,2024.0,5.0,1.0189376131367318E-5
Western,Ahanta West,2024.0,5.0,8.812000629926429E-6
