ADM1_NAME,ADM2_NAME,year,month,SO2_column_number_density
Western,Sefwi Bibiani-Anhwiaso Bekwai,2019.0,2.0,-2.359579782416892E-5
Ashanti,Amansie West,2019.0,2.0,5.262739729429628E-6
Ashanti,Asante Akim South,2019.0,2.0,1.1043854106502957E-5
Ashanti,Ahafo Ano North,2019.0,2.0,-2.5264916556732388E-5
Ashanti,Ejisu Juaben,2019.0,2.0,2.2559452916822724E-5
Ashanti,Obuasi Municipal,2019.0,3.0,-5.493778591703849E-5
Ashanti,Atwima Nwabiagya,2019.0,3.0,-3.356930400869709E-5
Ashanti,Atwima Mponua,2019.0,3.0,-6.863187168596374E-5
Ashanti,Adansi South,2019.0,3.0,-3.440478282827681E-5
Ashanti,Adansi North,2019.0,3.0,-5.6822602718120136E-5
Ashanti,Bosome Freho,2019.0,3.0,-6.550272108934539E-5
Ashanti,Bekwai Municipal,2019.0,3.0,-3.4053013725424145E-5
Ashanti,Amansie Central,2019.0,3.0,-2.9778509880648626E-5
Western,Wassa Amenfi West,2019.0,3.0,-6.0354321772290926E-5
Ashanti,Afigya Kwabre,2019.0,3.0,-8.348833944548512E-6
Ashanti,Atwima Kwanwoma,2019.0,3.0,2.4259964495337054E-5
Ashanti,Afigya Sekyere,2019.0,3.0,-4.917701144563009E-5
Ashanti,Sekyere Central,2019.0,3.0,-5.5699613833795056E-5
Ashanti,Offinso North,2019.0,3.0,-1.8051697873010987E-5
Ashanti,Offinso Municipal,2019.0,3.0,-2.531832399854902E-5
Ashanti,Bosomtwe /Atwima / Kwanwoma,2019.0,3.0,-7.634280326221064E-6
Ashanti,Mampong Municipal,2019.0,3.0,-6.0716722145943825E-5
Western,Ellembelle,2019.0,3.0,-4.879849523080402E-5
Western,Prestea / Huni Valley,2019.0,3.0,-4.2351164863307395E-5
Western,Nzema East,2019.0,3.0,-3.800744023686944E-5
Western,Tarkwa Nsuaem,2019.0,3.0,-6.586821791588906E-5
Western,Sefwi Akontombra,2019.0,3.0,-4.067520424873811E-5
Western,Sekondi Takoradi,2019.0,3.0,6.175446474858385E-6
Western,Sefwi-Wiawso,2019.0,3.0,-3.90089404158949E-5
Western,Shama,2019.0,3.0,-5.5392395743435114E-5
Ashanti,Sekyere East,2019.0,3.0,-3.8592181122242576E-5
Western,Aowin,2019.0,3.0,-4.4228457716024415E-5
Western,Suaman,2019.0,3.0,-9.581768476361939E-5
Western,Bia East,2019.0,3.0,-4.9314027710345035E-5
Western,Bia West,2019.0,3.0,-5.258518251754295E-5
Western,Bodi,2019.0,3.0,-2.4840672736271244E-5
Western,Juabeso,2019.0,3.0,-5.8069654880739734E-5
Western,Wassa East,2019.0,3.0,-4.962748230337174E-5
Western,Mpohor,2019.0,3.0,-4.649042936285312E-5
Western,Wassa Amenfi Central,2019.0,3.0,-5.783988858527163E-5
Ashanti,Sekyere Afram Plains,2019.0,3.0,-1.1269898900469716E-5
Ashanti,Sekyere Afram Plains North,2019.0,3.0,-6.114018305140913E-5
Ashanti,Asante Akim North,2019.0,3.0,-6.511753616722079E-5
Ashanti,Asante Akim Central Municipal,2019.0,3.0,-2.4776224429642898E-5
Ashanti,Asokore Mampong Municipal,2019.0,3.0,-2.6373370914965188E-5
Ashanti,Kma,2019.0,3.0,-7.196724828624438E-6
Western,Wassa Amenfi East,2019.0,3.0,-3.984609302693622E-5
Ashanti,Kwabre,2019.0,3.0,-2.8461243190784036E-5
Ashanti,Ejura Sekye Dumase,2019.0,3.0,-6.538424920676445E-5
Ashanti,Ahafo Ano South,2019.0,3.0,-3.539370601971735E-5
Western,Jomoro,2019.0,3.0,-3.585423797359492E-5
Western,Ahanta West,2019.0,3.0,-6.218087753007514E-5
Western,Sefwi Bibiani-Anhwiaso Bekwai,2019.0,3.0,-6.902063697282171E-5
Ashanti,Amansie West,2019.0,3.0,-4.0920647479896116E-5
Ashanti,Asante Akim South,2019.0,3.0,-4.2596316848244375E-5
Ashanti,Ahafo Ano North,2019.0,3.0,-6.573752806721651E-5
Ashanti,Ejisu Juaben,2019.0,3.0,-3.270790142512984E-5
Ashanti,Obuasi Municipal,2019.0,4.0,-1.6498015014840188E-5
Ashanti,Atwima Nwabiagya,2019.0,4.0,-5.580437704907151E-5
Ashanti,Atwima Mponua,2019.0,4.0,-5.786755613509889E-5
Ashanti,Adansi South,2019.0,4.0,-2.5432073472587887E-5
Ashanti,Adansi North,2019.0,4.0,-2.5716235483825564E-5
Ashanti,Bosome Freho,2019.0,4.0,-1.733027129978135E-5
Ashanti,Bekwai Municipal,2019.0,4.0,-6.396102864582557E-5
Ashanti,Amansie Central,2019.0,4.0,-6.981927818528331E-5
Western,Wassa Amenfi West,2019.0,4.0,-2.5134835116592172E-5
Ashanti,Afigya Kwabre,2019.0,4.0,1.5826736778753903E-5
Ashanti,Atwima Kwanwoma,2019.0,4.0,-2.7183222430099052E-5
Ashanti,Afigya Sekyere,2019.0,4.0,-3.63870054663297E-5
Ashanti,Sekyere Central,2019.0,4.0,-2.975794593602078E-5
Ashanti,Offinso North,2019.0,4.0,-1.347051213542381E-5
Ashanti,Offinso Municipal,2019.0,4.0,-1.901805073955211E-5
Ashanti,Bosomtwe /Atwima / Kwanwoma,2019.0,4.0,-2.0279246553078264E-5
Ashanti,Mampong Municipal,2019.0,4.0,-2.8005020595725873E-5
Western,Ellembelle,2019.0,4.0,-3.487400662537931E-5
Western,Prestea / Huni Valley,2019.0,4.0,-3.13790923051431E-5
Western,Nzema East,2019.0,4.0,-2.674034692591716E-5
Western,Tarkwa Nsuaem,2019.0,4.0,-5.092840114479778E-5
Western,Sefwi Akontombra,2019.0,4.0,-6.0516406901346325E-5
Western,Sekondi Takoradi,2019.0,4.0,5.76102176413995E-6
Western,Sefwi-Wiawso,2019.0,4.0,-4.8056054073885725E-5
Western,Shama,2019.0,4.0,-7.935031252031387E-5
Ashanti,Sekyere East,2019.0,4.0,-2.452976256662772E-5
Western,Aowin,2019.0,4.0,-4.0843027203792904E-5
Western,Suaman,2019.0,4.0,-3.879401248560558E-5
